MachineID,Store Name,Address,City,Zip,Campus,Offers Delivery?,Accepts Meal Plans?,Status,SpecialAccess,Rating,PaymentMethod,RoomNumber,Long,Lat,ServiceProvidedWithPrice,Provider,Picture
1,Archer House,2130 Neil Ave,Columbus,43210,North Campus (Columbus),No,No,Normal,FALSE,,Visa/Apple Pay/Discover/MasterCard/Google Pay/American Express/Cash ,1st floor,-83.01411135,40.00520225,drinks,Coca Cola,
,Archer House,2131 Neil Ave,Columbus,43211,North Campus (Columbus),No,No,Normal,FALSE,,Visa/Apple Pay/Discover/MasterCard/American Express/Cash ,1st floor,-83.0141398,40.00514117,snacks,Various,
2,Baker Hall,129 W. 12th Ave.,Columbus,43210,South Campus (Columbus),No,No,Normal,,,,,,,,,
3,Baker Systems Engineering,1971 Neil Ave.,Columbus,43210,North Campus (Columbus),No,No,Normal,FALSE,,Cash/BuckID/Visa/Apple Pay/Discover/MasterCard/Google Pay/AmEx,1st Floor,40.00187,83.01594,Drinks,DASANI,Picture
,Baker Systems Engineering,1971 Neil Ave.,Columbus,43210,North Campus (Columbus),No,No,Normal,FALSE,,Cash/Visa/Apple Pay/Discover/MasterCard/Google Pay/AmEx,1st Floor,40.00187,83.01594,Drinks,Coca Cola,Picture
4,Barrett House,88 West Woodruff Avenue,Columbus,43210,North Campus (Columbus),No,No,Normal,FALSE,,Cash,-1st floor,-83.01088964,40.00471844,drinks,Coca Cola,
5,Bevis Hall,1080 Carmack Rd,Columbus,43210,West Campus (Columbus),No,No,Normal,,,,,,,,,
6,Biological Sciences Building,484 W 12th Ave,Columbus,43210,West Campus (Columbus),No,No,Normal,,,,,,,,,
7,Blackburn House,120 W. Woodruff Ave.,Columbus,43210,North Campus (Columbus),No,No,Normal,FALSE,,Visa/Apple Pay/Discover/MasterCard/Google Pay/American Express/Cash ,1st floor,-83.0123046,40.00413617,drinks,Dasani,
,Blackburn House,121 W. Woodruff Ave.,Columbus,43211,North Campus (Columbus),No,No,Normal,FALSE,,Visa/Apple Pay/Discover/MasterCard/Google Pay/American Express/Cash ,1st floor,-83.01223402,40.00413086,drinks,Coca Cola,
,Blackburn House,122 W. Woodruff Ave.,Columbus,43212,North Campus (Columbus),No,No,Normal,FALSE,,Visa/Apple Pay/Discover/MasterCard/American Express/Cash ,1st floor,-83.01213547,40.00411931,snacks,Various,
8,Bradley Hall,221 W 12th Ave,Columbus,43210,South Campus (Columbus),No,No,Normal,TRUE,,"Cash, Mastercard, visa, American Express, discover, debit ",,,,,,
